,loss,acc,f1,kappa
0,1.074969055,0.601183541,0.648137296,0.398899322
1,0.939839045,0.650591114,0.642089675,0.504351583
2,0.903173124,0.623366344,0.631932232,0.463902696
3,0.880950522,0.682292697,0.668769983,0.545061817
4,0.862902906,0.756056387,0.743441402,0.645277028
5,0.850248845,0.706750025,0.692264329,0.578270997
6,0.836719022,0.712428998,0.70073819,0.584021794
7,0.82036582,0.726131005,0.713065526,0.604029388
8,0.816096059,0.691921572,0.672504664,0.566420965
9,0.798175975,0.741942973,0.726654536,0.626810542
10,0.77979819,0.737915812,0.721121045,0.622079274
11,0.76940989,0.725496703,0.707556291,0.606286578
12,0.75979433,0.719869879,0.705001208,0.598080997
13,0.754494199,0.722347598,0.701985214,0.604315369
14,0.743156094,0.74512105,0.726804144,0.634458166
15,0.735307823,0.741919023,0.728498411,0.626403033
16,0.727752174,0.741577535,0.720752473,0.631505364
17,0.724563418,0.758673173,0.745962982,0.648664228
18,0.70780678,0.732691511,0.715825113,0.616728714
19,0.704640969,0.765175735,0.752488804,0.658244808
20,0.682892767,0.758792925,0.745324863,0.649512374
21,0.675168999,0.755511706,0.742611114,0.643956216
22,0.668441647,0.756267692,0.742483829,0.646329689
23,0.664827178,0.749380764,0.736577838,0.635737279
24,0.662182508,0.765594482,0.751861449,0.659485981
25,0.651632866,0.772160011,0.763994758,0.665123729
26,0.65170381,0.751747614,0.736922136,0.640679406
27,0.641714067,0.771337968,0.76188146,0.664268515
28,0.639375683,0.773945096,0.764786712,0.668066889
29,0.635679418,0.763637494,0.754218527,0.653152327
30,0.623243533,0.769062284,0.759055383,0.661591991
31,0.621088725,0.772368226,0.763636407,0.665395431
32,0.620407173,0.763215657,0.753115314,0.653032365
33,0.617528596,0.761951302,0.751224062,0.651815036
34,0.608834965,0.765575167,0.756566112,0.656206374
35,0.610178722,0.761917694,0.751089291,0.651688867
36,0.607673199,0.76631377,0.755682903,0.658673451
37,0.606579376,0.773343629,0.764355682,0.66726077
38,0.600381703,0.755845855,0.744862327,0.642919016
39,0.602787942,0.767864372,0.758608109,0.659474019
40,0.598708917,0.769098982,0.759299623,0.661476278
41,0.59209691,0.764743081,0.755244136,0.654669477
42,0.593493995,0.762766778,0.751924392,0.653126458
43,0.584381761,0.76979741,0.761243795,0.661889164
44,0.588152106,0.778027,0.770073,0.68193
45,0.584891646,0.764991084,0.755088941,0.655609804
46,0.587300801,0.771647779,0.763427853,0.664010329
47,0.584699235,0.771267275,0.763754234,0.663115256
48,0.582724553,0.76306191,0.752644108,0.653083276
49,0.582334656,0.769825996,0.760569155,0.662506706
50,0.579115841,0.760447055,0.750972951,0.648258216
51,0.581159116,0.765100407,0.755872721,0.655312575
52,0.576057209,0.765470094,0.756659188,0.655737268
53,0.571469387,0.767249385,0.758538359,0.658019924
54,0.577079841,0.764247846,0.755225973,0.653404586
55,0.57611163,0.768433776,0.759307319,0.660161797
56,0.574576472,0.767665815,0.758383817,0.659113636
57,0.573801066,0.76649533,0.75632896,0.658061648
58,0.573560268,0.763987481,0.754592905,0.653976653
59,0.57137718,0.760494956,0.750617578,0.649035431
60,0.569125101,0.760077368,0.748583159,0.649512364
61,0.56822465,0.770802945,0.763522645,0.662145431
62,0.569909618,0.772312213,0.763889221,0.665384784
63,0.57074736,0.768964936,0.760975861,0.659966137
64,0.572876967,0.768019278,0.758266453,0.660350207
65,0.569702361,0.771211648,0.764548815,0.662081949
66,0.569863926,0.769772687,0.761780055,0.660991312
67,0.570198857,0.770456435,0.761664674,0.663059146
68,0.570972896,0.769527001,0.761443269,0.660604246
69,0.566702216,0.763902109,0.75393946,0.654103831
70,0.56433064,0.768374672,0.758784409,0.660438977
71,0.566018433,0.770874796,0.762197637,0.663562247
72,0.56397636,0.771312086,0.762959923,0.66387363
73,0.570775655,0.766835273,0.756984148,0.658522589
74,0.564487822,0.76948528,0.762436759,0.659863742
75,0.564855185,0.761362969,0.753802092,0.648109924
76,0.56704609,0.767841581,0.75932937,0.658548741
77,0.563488378,0.762899278,0.752753485,0.652809592
78,0.566724392,0.76804825,0.759806466,0.658710698
79,0.567582462,0.76984956,0.760996201,0.662384217
80,0.563601718,0.768149074,0.759888828,0.659028403
81,0.568973732,0.774068712,0.766826267,0.667023236
82,0.565848873,0.77115718,0.76427959,0.662027891
83,0.56220409,0.771664776,0.763179487,0.66464135
84,0.560315147,0.775059954,0.768105583,0.668214939
85,0.5667707,0.774392043,0.76802036,0.666721973
86,0.564741759,0.76676458,0.760073222,0.655237611
87,0.560170351,0.765404424,0.755053685,0.656565937
88,0.563557782,0.765696079,0.755305871,0.65719039
89,0.566754443,0.7679961,0.75770881,0.660504725
90,0.561565045,0.770875955,0.764135929,0.661406191
91,0.560939204,0.767979489,0.760104571,0.658204646
92,0.561008854,0.766998291,0.756643261,0.659087149
93,0.565623334,0.772498795,0.765243598,0.664398564
94,0.56740456,0.77146197,0.763408602,0.663809892
95,0.565180372,0.771255686,0.762367687,0.664272255
96,0.564781061,0.768577093,0.758313454,0.661309946
97,0.563921396,0.767362184,0.758202331,0.658407755
98,0.563047173,0.769325353,0.760156666,0.661501075
99,0.564840214,0.77292295,0.766273421,0.664569598
